filing_id,politician,member_status,state_district,source_pdf,source_year,transaction_number_in_filing,owner,asset_v8_2_cleaned,asset_v8_1,ticker_v8_2_cleaned,ticker_v8_1,asset_type,transaction_type,transaction_date,notification_date,amount_min,amount_max,amount_exact,amount_category,amount_status,filing_status,subholding,location,description,comments,page,last_page,page_parse_method,page_recovery_used,filing_page_completeness_issue,suspected_missed_pages,page_continuation_used,duplicate_geometry_rows_merged,possible_adjacent_same_signature,row_shaded,geometry_quality_score,unicode_repair_applied,unicode_repair_count,needs_review,original_pdf_url,review_level,review_reason,owner_raw,asset_raw,asset_lookup_context,transaction_type_raw,transaction_date_raw,notification_date_raw,amount_raw,continuation_raw,detail_raw,review_reason_v8_1,review_level_v8_1,needs_review_v8_1,geometry_quality_score_v8_1,ticker_candidate_raw,ticker_parse_status,ticker_validation_source,ticker_changed,asset_changed_by_ticker_resolver,raw_date_has_extra_text,raw_date_prefix,date_prefix_disagrees
20030635,Hon. Rob Bresnahan,Member,PA08,20030635.pdf,2025,1,,"Amazon.com, Inc. - Common Stock","Amazon.com, Inc. - Common Stock",AMZN,AMZN,ST,S,2025-06-23,2025-06-30,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,JP Morgan Brokerage Account #2,,,,1,1,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030635.pdf,,,,"Amazon.com, Inc. - Common Stock (AMZN) [ST] Filing Status: New Subholding Of: JP Morgan Brokerage Ac","Amazon.com, Inc. - Common Stock (AMZN) [ST]",S ccount #2,06/23/2025,06/30/2025,"$1,001 - $15,000",,"Amazon.com, Inc. - Common Stock (AMZN) [ST] S 06/23/2025 06/30/2025 $1,001 - $15,000 Filing Status: New Subholding Of: JP Morgan Brokerage Account #2",,,False,100,AMZN,accepted,house_ptr_structure+v8_1,False,False,False,06/23/2025,False
20030635,Hon. Rob Bresnahan,Member,PA08,20030635.pdf,2025,2,,Applovin Corporation - Class A Common Stock,Applovin Corporation - Class A Common Stock,APP,APP,ST,P,2025-06-06,2025-06-16,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,JP Morgan Brokerage Account #2,,,,1,1,table,False,False,,False,0,False,True,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030635.pdf,,,,Applovin Corporation - Class A Common Stock (APP) [ST],Applovin Corporation - Class A Common Stock (APP) [ST],P,06/06/2025,06/16/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: JP Morgan Brokerage Account #2,"Applovin Corporation - Class A Common Stock (APP) [ST] P 06/06/2025 06/16/2025 $1,001 - $15,000 Filing Status: New Subholding Of: JP Morgan Brokerage Account #2",,,False,100,APP,accepted,house_ptr_structure+v8_1,False,False,False,06/06/2025,False
20030635,Hon. Rob Bresnahan,Member,PA08,20030635.pdf,2025,3,,Atlassian Corporation - Class A Common Stock,Atlassian Corporation - Class A Common Stock,TEAM,TEAM,ST,S (partial),2025-06-03,2025-06-16,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,JP Morgan Brokerage Account #2,,,,1,1,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030635.pdf,,,,Atlassian Corporation - Class A Common Stock (TEAM) [ST] Filing Status: New Subholding Of: JP Morgan Brokerage Ac,Atlassian Corporation - Class A Common Stock (TEAM) [ST],S (partial) ccount #2,06/03/2025,06/16/2025,"$1,001 - $15,000",,"Atlassian Corporation - Class A Common Stock (TEAM) [ST] S (partial) 06/03/2025 06/16/2025 $1,001 - $15,000 Filing Status: New Subholding Of: JP Morgan Brokerage Account #2",,,False,100,TEAM,accepted,house_ptr_structure+v8_1,False,False,False,06/03/2025,False
20030635,Hon. Rob Bresnahan,Member,PA08,20030635.pdf,2025,4,,Atlassian Corporation - Class A Common Stock,Atlassian Corporation - Class A Common Stock,TEAM,TEAM,ST,S,2025-06-11,2025-06-16,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,JP Morgan Brokerage Account #2,,,,1,1,table,False,False,,False,0,False,True,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030635.pdf,,,,Atlassian Corporation - Class A Common Stock (TEAM) [ST],Atlassian Corporation - Class A Common Stock (TEAM) [ST],S,06/11/2025,06/16/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: JP Morgan Brokerage Account #2,"Atlassian Corporation - Class A Common Stock (TEAM) [ST] S 06/11/2025 06/16/2025 $1,001 - $15,000 Filing Status: New Subholding Of: JP Morgan Brokerage Account #2",,,False,100,TEAM,accepted,house_ptr_structure+v8_1,False,False,False,06/11/2025,False
20030635,Hon. Rob Bresnahan,Member,PA08,20030635.pdf,2025,5,,Broadcom Inc. - Common Stock,Broadcom Inc. - Common Stock,AVGO,AVGO,ST,P,2025-06-11,2025-06-16,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,JP Morgan Brokerage Account #2,,,,1,1,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030635.pdf,,,,Broadcom Inc. - Common Stock (AVGO) [ST] Filing Status: New Subholding Of: JP Morgan Brokerage Ac,Broadcom Inc. - Common Stock (AVGO) [ST],P ccount #2,06/11/2025,06/16/2025,"$1,001 - $15,000",,"Broadcom Inc. - Common Stock (AVGO) [ST] P 06/11/2025 06/16/2025 $1,001 - $15,000 Filing Status: New Subholding Of: JP Morgan Brokerage Account #2",,,False,100,AVGO,accepted,house_ptr_structure+v8_1,False,False,False,06/11/2025,False
20030635,Hon. Rob Bresnahan,Member,PA08,20030635.pdf,2025,6,,CALL BERKSHIRE CL B,CALL BERKSHIRE CL B,,,OT,S,2025-06-16,2025-06-30,50001.0,100000.0,,"$50,001 - $100,000",valid_range,New,LPL Account I Type Date Gains > $200?,US,CALL BERKSHIRE CL B NEW $410 EXP 06/18/26 CLASS B,Sell to Open – New Covered Call Contract,1,2,table,False,False,,True,0,False,True,98,True,44,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030635.pdf,,,,CALL BERKSHIRE CL B [OT],CALL BERKSHIRE CL B [OT],S,06/16/2025,06/30/2025,"$50,001 - $100,000",Filing Status: New Subholding Of: LPL Account I Type Date Gains > $200? Location: US Description: CALL BERKSHIRE CL B NEW $410 EXP 06/18/26 CLASS B Comments: Sell to Open – New Covered Call Contract,"CALL BERKSHIRE CL B [OT] S 06/16/2025 06/30/2025 $50,001 - $100,000 Filing Status: New Subholding Of: LPL Account I Type Date Gains > $200? Location: US Description: CALL BERKSHIRE CL B NEW $410 EXP 06/18/26 CLASS B Comments: Sell to Open – New Covered Call Contract",,,False,98,,not_applicable,,False,False,False,06/16/2025,False
20030635,Hon. Rob Bresnahan,Member,PA08,20030635.pdf,2025,7,,CALL BERKSHIRE CL B,CALL BERKSHIRE CL B,,,OT,P,2025-06-16,2025-06-16,50001.0,100000.0,,"$50,001 - $100,000",valid_range,New,LPL Account I,US,CALL BERKSHIRE CL B NEW $340 EXP 06/20/25 CLASS B,Buy to Close on Covered Call,2,2,table,False,False,,False,0,False,False,100,True,44,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030635.pdf,,,,CALL BERKSHIRE CL B [OT] Filing Status: New Subholding Of: LPL Account I Location: US Description: CALL BERKSHIRE CL B NE Comments: Buy to Close on Covered Call,CALL BERKSHIRE CL B [OT],P EW $340 EXP 06,06/16/2025 6/20/25 CLASS,06/16/2025 S B,"$50,001 - $100,000",,"CALL BERKSHIRE CL B [OT] P 06/16/2025 06/16/2025 $50,001 - $100,000 Filing Status: New Subholding Of: LPL Account I Location: US Description: CALL BERKSHIRE CL B NEW $340 EXP 06/20/25 CLASS B Comments: Buy to Close on Covered Call",,,False,100,,not_applicable,,False,False,True,06/16/2025,False
20030635,Hon. Rob Bresnahan,Member,PA08,20030635.pdf,2025,8,,CALL BERKSHIRE CL B,CALL BERKSHIRE CL B,,,OT,S,2025-06-16,2025-06-30,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,KCI Holdings LLC > LPL Brokerage Account,US,CALL BERKSHIRE CL B NEW $410 EXP 06/18/26 CLASS B,Sell to Open – New Covered Call Contract,2,2,table,False,False,,False,0,False,True,100,True,44,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030635.pdf,,,,CALL BERKSHIRE CL B [OT],CALL BERKSHIRE CL B [OT],S,06/16/2025,06/30/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: KCI Holdings LLC > LPL Brokerage Account Location: US Description: CALL BERKSHIRE CL B NEW $410 EXP 06/18/26 CLASS B Comments: Sell to Open – New Covered Call Contract,"CALL BERKSHIRE CL B [OT] S 06/16/2025 06/30/2025 $1,001 - $15,000 Filing Status: New Subholding Of: KCI Holdings LLC > LPL Brokerage Account Location: US Description: CALL BERKSHIRE CL B NEW $410 EXP 06/18/26 CLASS B Comments: Sell to Open – New Covered Call Contract",,,False,100,,not_applicable,,False,False,False,06/16/2025,False
20030635,Hon. Rob Bresnahan,Member,PA08,20030635.pdf,2025,9,,CALL BERKSHIRE CL B,CALL BERKSHIRE CL B,,,OT,P,2025-06-16,2025-06-30,15001.0,50000.0,,"$15,001 - $50,000",valid_range,New,KCI Holdings LLC > LPL Brokerage Account,US,CALL BERKSHIRE CL B NEW $340 EXP 06/20/25 CLASS B,Buy to Close on Covered Call,2,2,table,False,False,,False,0,False,False,100,True,44,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030635.pdf,,,,CALL BERKSHIRE CL B [OT] Filing Status: New Subholding Of: KCI Holdings LLC > LPL Location: US Description: CALL BERKSHIRE CL B NE Comments: Buy to Close on Covered Call,CALL BERKSHIRE CL B [OT],P L Brokerage Accou EW $340 EXP 06,06/16/2025 unt 6/20/25 CLASS,06/30/2025 S B,"$15,001 - $50,000",,"CALL BERKSHIRE CL B [OT] P 06/16/2025 06/30/2025 $15,001 - $50,000 Filing Status: New Subholding Of: KCI Holdings LLC > LPL Brokerage Account Location: US Description: CALL BERKSHIRE CL B NEW $340 EXP 06/20/25 CLASS B Comments: Buy to Close on Covered Call",,,False,100,,not_applicable,,False,False,True,06/16/2025,False
20030635,Hon. Rob Bresnahan,Member,PA08,20030635.pdf,2025,10,,CALL SPDR S&P 500 ETF,CALL SPDR S&P 500 ETF,,,OT,P,2025-06-16,2025-06-30,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,RPB Ventures LLC > LPL Account,US,CALL SPDR S&P 500 ETF TR $455 EXP 06/20/25 UNIT SER 1,Buy to Close on Covered Call,2,2,table,False,False,,False,0,False,True,100,True,44,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030635.pdf,,,,CALL SPDR S&P 500 ETF [OT],CALL SPDR S&P 500 ETF [OT],P,06/16/2025,06/30/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: RPB Ventures LLC > LPL Account Location: US Description: CALL SPDR S&P 500 ETF TR $455 EXP 06/20/25 UNIT SER 1 Comments: Buy to Close on Covered Call,"CALL SPDR S&P 500 ETF [OT] P 06/16/2025 06/30/2025 $1,001 - $15,000 Filing Status: New Subholding Of: RPB Ventures LLC > LPL Account Location: US Description: CALL SPDR S&P 500 ETF TR $455 EXP 06/20/25 UNIT SER 1 Comments: Buy to Close on Covered Call",,,False,100,,not_applicable,,False,False,False,06/16/2025,False
