variable,type,units,factor levels,valid range,missing count,missing means,notes,documentation checks
filing_id,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,0,Blank in extracted/derived field; consult original PDF before inferring absence.,House filing identifier; not a person ID. Keep leading zeros.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
politician,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Member name reported in the filing; not a stable person identifier.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
member_status,category,not applicable (text/code/flag),"'Former Member', 'Member'","source/parser-defined codes; observed levels listed, not a universal codebook",0,Blank in extracted/derived field; consult original PDF before inferring absence.,"Reported filer role, not independently checked employment status.",No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
state_district,category,not applicable (text/code/flag),"'AL04', 'AL07', 'AR02', 'AR04', 'CA11', 'CA27', 'CA28', 'CA30', 'CA31', 'CA47', 'CA48', 'CA50', 'DC00', 'FL02', 'FL06', 'FL15', 'FL17', 'FL18', 'FL19', 'FL23', 'FL25', 'GA01', 'GA06', 'GA08', 'GA10', 'GA12', 'GA14', 'HI01', 'IL01', 'IL10', 'IN02', 'IN05', 'IN06', 'KY01', 'LA06', 'MA04', 'MA05', 'MA06', 'MA09', 'MD06', 'ME01', 'MI06', 'MI09', 'MI13', 'MN03', 'MN08', 'MO02', 'MS03', 'NC05', 'NC06', 'NC13', 'NC14', 'NJ01', 'NJ05', 'NJ07', 'NJ11', 'NV03', 'NY02', 'NY03', 'NY10', 'NY15', 'NY18', 'OH01', 'OH02', 'OH05', 'OH07', 'OH14', 'OK01', 'OR02', 'OR04', 'PA03', 'PA08', 'PA09', 'PA14', 'PA16', 'SC03', 'TN04', 'TN06', 'TN07', 'TN09', 'TX11', 'TX17', 'TX25', 'TX26', 'TX32', 'TX37', 'UT03', 'VA05', 'VA08', 'VA11', 'WA01', 'WA02', 'WA04', 'WA06', 'WA09', 'WV01'","source/parser-defined codes; observed levels listed, not a universal codebook",0,Blank in extracted/derived field; consult original PDF before inferring absence.,Reported state/district code; retain as text.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
source_pdf,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,0,Blank in extracted/derived field; consult original PDF before inferring absence.,"Archived source filename, joined to data/raw/2025_pdfs/.",No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
source_year,integer,filing-index calendar year,Not categorical,2025 for this filing-index extract,0,Blank in extracted/derived field; consult original PDF before inferring absence.,"Filing-index year 2025, not a transaction-date filter.",0 violations of the implemented domain check; source meaning not independently validated.
transaction_number_in_filing,integer,count or sequence index,Not categorical,positive integer,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Extraction sequence; combine with filing_id for row key.,0 violations of the implemented domain check; source meaning not independently validated.
owner,category,not applicable (text/code/flag),"'', 'DC', 'JT', 'SP'","source/parser-defined codes; observed levels listed, not a universal codebook",3799,Blank in extracted/derived field; consult original PDF before inferring absence.,"Source owner code; blank means no separately extracted code, not necessarily the member.",No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
asset_v8_2_cleaned,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Resolver's asset display text; original kept in asset_v8_1 and PDF.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
asset_v8_1,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,0,Blank in extracted/derived field; consult original PDF before inferring absence.,Pre-resolver asset text. Restore asset_v8_2_cleaned from this to reverse resolver edits.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
ticker_v8_2_cleaned,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,744,"No extracted candidate/evidence, or not applicable; inspect asset_type and status.",Resolver ticker; a blank or symbol alone does not establish asset eligibility.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
ticker_v8_1,string,not applicable (text/code/flag),Not categorical,source text or identifier; no numeric bounds,744,"No extracted candidate/evidence, or not applicable; inspect asset_type and status.",Ticker candidate from original extraction; retained for comparison.,No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
asset_type,category,not applicable (text/code/flag),"'AB', 'CS', 'CT', 'ET', 'GS', 'HN', 'OI', 'OL', 'OP', 'OT', 'PS', 'RS', 'ST', 'VA'","source/parser-defined codes; observed levels listed, not a universal codebook",0,Blank in extracted/derived field; consult original PDF before inferring absence.,"Disclosure asset-type code; use the House code guide, not a guessed mapping.",No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
transaction_type,category,not applicable (text/code/flag),"'E', 'P', 'S', 'S (partial)'","source/parser-defined codes; observed levels listed, not a universal codebook",0,Blank in extracted/derived field; consult original PDF before inferring absence.,"Reported P/S/E code, sometimes with a partial/full sale suffix.",No automatic semantic/codebook test for this field; see source notes and reviewed exceptions.
transaction_date,date,calendar date,Not categorical,valid calendar date; no 2025-only restriction,0,Blank in extracted/derived field; consult original PDF before inferring absence.,"Reported trade date, not filing or notification date. Earlier years remain.",0 violations of the implemented domain check; source meaning not independently validated.
